event_id,exit_date,route1,route2,route3,state_sequence,propagation_depth,alt_or_broad_weight,subperiod
EXIT_010,2021-10-28 23:59:59,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,BTC_CONCENTRATION -> MIXED_NO_CLEAR_ROUTE -> ETH_BROADENING -> BROAD_RISK_EXPANSION,2,1,2020-2021
EXIT_011,2021-11-04 23:59:59,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE -> ETH_BROADENING -> BROAD_RISK_EXPANSION -> MID_CAP_ROTATION,3,1,2020-2021
EXIT_012,2022-03-06 23:59:59,MIXED_NO_CLEAR_ROUTE,STABLECOIN_PARKING,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE -> STABLECOIN_PARKING -> BTC_CONCENTRATION -> BROAD_RISK_EXPANSION,1,1,2022
EXIT_013,2022-03-21 23:59:59,BROAD_RISK_EXPANSION,BTC_CONCENTRATION,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION -> BTC_CONCENTRATION -> BROAD_RISK_EXPANSION -> ETH_BROADENING,2,1,2022
EXIT_014,2022-03-23 23:59:59,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,ETH_BROADENING,BROAD_RISK_EXPANSION -> BROAD_RISK_EXPANSION -> ETH_BROADENING -> SMALL_CAP_ROTATION,3,1,2022
EXIT_015,2022-03-26 23:59:59,BROAD_RISK_EXPANSION,BROAD_RISK_EXPANSION,ETH_BROADENING,BROAD_RISK_EXPANSION -> BROAD_RISK_EXPANSION -> ETH_BROADENING -> SMALL_CAP_ROTATION,3,1,2022
EXIT_016,2022-03-29 23:59:59,BROAD_RISK_EXPANSION,ETH_BROADENING,SMALL_CAP_ROTATION,BROAD_RISK_EXPANSION -> ETH_BROADENING -> SMALL_CAP_ROTATION -> MIXED_NO_CLEAR_ROUTE,3,1,2022
EXIT_017,2022-06-11 23:59:59,CAPITAL_EXIT,ETH_BROADENING,BROAD_RISK_EXPANSION,CAPITAL_EXIT -> ETH_BROADENING -> BROAD_RISK_EXPANSION -> MIXED_NO_CLEAR_ROUTE,2,1,2022
EXIT_018,2022-10-09 23:59:59,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,ETH_BROADENING,MIXED_NO_CLEAR_ROUTE -> BTC_CONCENTRATION -> ETH_BROADENING -> NARROW_LEADERSHIP,1,1,2022
EXIT_019,2022-10-22 23:59:59,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,BTC_CONCENTRATION -> MIXED_NO_CLEAR_ROUTE -> ETH_BROADENING -> NARROW_LEADERSHIP,1,1,2022
EXIT_020,2022-10-29 23:59:59,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE -> ETH_BROADENING -> NARROW_LEADERSHIP -> BTC_CONCENTRATION,1,1,2022
EXIT_021,2022-12-16 23:59:59,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,BTC_CONCENTRATION -> MIXED_NO_CLEAR_ROUTE -> ETH_BROADENING -> LARGE_ALT_ROTATION,2,1,2022
EXIT_022,2022-12-19 23:59:59,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,BTC_CONCENTRATION -> MIXED_NO_CLEAR_ROUTE -> ETH_BROADENING -> LARGE_ALT_ROTATION,2,1,2022
EXIT_023,2022-12-30 23:59:59,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,ETH_BROADENING,MIXED_NO_CLEAR_ROUTE -> BTC_CONCENTRATION -> ETH_BROADENING -> LARGE_ALT_ROTATION,2,1,2022
EXIT_024,2023-01-07 23:59:59,BTC_CONCENTRATION,ETH_BROADENING,LARGE_ALT_ROTATION,BTC_CONCENTRATION -> ETH_BROADENING -> LARGE_ALT_ROTATION -> MID_CAP_ROTATION,3,1,2023
EXIT_025,2023-01-15 23:59:59,LARGE_ALT_ROTATION,BTC_CONCENTRATION,LARGE_ALT_ROTATION,LARGE_ALT_ROTATION -> BTC_CONCENTRATION -> LARGE_ALT_ROTATION -> MID_CAP_ROTATION,3,1,2023
EXIT_026,2023-01-22 23:59:59,LARGE_ALT_ROTATION,MID_CAP_ROTATION,BROAD_RISK_EXPANSION,LARGE_ALT_ROTATION -> MID_CAP_ROTATION -> BROAD_RISK_EXPANSION -> MIXED_NO_CLEAR_ROUTE,3,1,2023
