chain,end,max_rb_move,disp_chg,brd_chg,moves_cancel
Arbitrum,2023-11-16 23:59:59,,,-0.864,False
Arbitrum,2023-11-28 23:59:59,,-0.00492,-0.052,False
Arbitrum,2023-12-07 23:59:59,,0.01478,0.018,False
Arbitrum,2023-12-13 23:59:59,,0.01124,-0.046,False
Arbitrum,2023-12-17 23:59:59,,-0.00209,0.07,False
Arbitrum,2023-12-31 23:59:59,,-0.05252,-0.034,False
Arbitrum,2024-02-07 23:59:59,,,-0.24,False
Arbitrum,2024-02-22 23:59:59,,0.11054,0.396,False
Arbitrum,2024-03-15 23:59:59,,0.3375,-0.054,False
Arbitrum,2024-04-03 23:59:59,,-0.18025,-0.358,False
Arbitrum,2024-04-14 23:59:59,,0.02636,-0.112,False
Arbitrum,2024-04-24 23:59:59,,0.2779,-0.066,False
Arbitrum,2024-04-29 23:59:59,,-0.02408,-0.02,False
Arbitrum,2024-05-12 23:59:59,,0.02002,0.068,False
Arbitrum,2024-05-21 23:59:59,,0.01303,0.07,False
Arbitrum,2024-05-26 23:59:59,,0.02053,0.154,False
Arbitrum,2024-05-29 23:59:59,,0.01506,-0.024,False
Arbitrum,2024-06-10 23:59:59,,,0.336,False
Arbitrum,2024-07-06 23:59:59,,0.00247,-0.016,False
Arbitrum,2024-07-20 23:59:59,,0.04847,0.424,False
Arbitrum,2024-07-27 23:59:59,,-0.0563,-0.096,False
Arbitrum,2024-09-17 23:59:59,,0.15191,-0.004,False
Arbitrum,2024-10-22 23:59:59,,-0.02362,-0.132,False
Arbitrum,2024-11-10 23:59:59,,0.02039,0.044,False
Arbitrum,2024-11-13 23:59:59,,0.11183,-0.188,False
Arbitrum,2024-12-15 23:59:59,,-0.16366,-0.148,False
Arbitrum,2025-02-19 23:59:59,,0.00478,0.028,False
Arbitrum,2025-02-26 23:59:59,,-0.03054,-0.056,False
Arbitrum,2025-03-23 23:59:59,,-0.05465,0.008,False
Arbitrum,2025-03-27 23:59:59,,0.03627,0.076,False
Arbitrum,2025-05-02 23:59:59,,0.04447,0.078,False
Arbitrum,2025-05-05 23:59:59,,0.001,-0.04,False
Arbitrum,2025-05-16 23:59:59,,-0.04294,-0.018,False
Arbitrum,2025-05-26 23:59:59,,0.03442,-0.134,False
Arbitrum,2025-05-29 23:59:59,,0.04417,-0.16,False
Arbitrum,2025-06-17 23:59:59,,-0.01109,-0.04,False
Arbitrum,2025-06-29 23:59:59,,0.01595,0.168,False
Arbitrum,2025-07-09 23:59:59,,0.02383,-0.054,False
Arbitrum,2025-07-25 23:59:59,,0.12484,0.124,False
Arbitrum,2025-07-30 23:59:59,,-0.00155,-0.034,False
Arbitrum,2025-09-11 23:59:59,,0.13894,-0.038,False
Arbitrum,2025-09-21 23:59:59,,0.05438,-0.294,False
Arbitrum,2025-10-04 23:59:59,,-0.37167,0.026,False
Arbitrum,2025-10-09 23:59:59,,-0.03194,-0.18,False
Arbitrum,2025-10-12 23:59:59,,0.01404,0.014,False
Arbitrum,2026-01-10 23:59:59,,-0.04418,0.156,False
Arbitrum,2026-03-09 23:59:59,,-0.03733,0.042,False
Arbitrum,2026-03-24 23:59:59,,0.04801,0.022,False
Arbitrum,2026-05-08 23:59:59,,-0.22769,0.012,False
Arbitrum,2026-05-18 23:59:59,,-0.10663,-0.162,False
Arbitrum,2026-07-09 23:59:59,,-0.029,-0.128,False
