family,delay_h,hold_h,split,n,mean_net_bps,mean_gross_bps,win_prob,mean_cost_bps
EUR_ACCUMULATION_JPY_WEAKNESS,3,8,RELATIONSHIP_CONFIRMED_OOS,564,2.851774886387532,4.695838813328171,0.574468085106383,1.84406392694064
EUR_ACCUMULATION_JPY_WEAKNESS,3,12,inner_sel,840,1.396030872731973,3.337126763142932,0.5404761904761904,1.941095890410959
EUR_ACCUMULATION_JPY_WEAKNESS,3,12,inner_val,308,0.4626521000086283,2.403747990419588,0.5,1.941095890410959
EUR_ACCUMULATION_JPY_WEAKNESS,3,12,RELATIONSHIP_CONFIRMED_OOS,564,3.360838417856293,5.301934308267253,0.5726950354609929,1.9410958904109583
EUR_ACCUMULATION_JPY_WEAKNESS,4,4,inner_sel,820,-0.9265377610300812,0.8204942024402387,0.4756097560975609,1.7470319634703195
EUR_ACCUMULATION_JPY_WEAKNESS,4,4,inner_val,304,0.8916685655463285,2.6387005290166488,0.4473684210526316,1.7470319634703195
EUR_ACCUMULATION_JPY_WEAKNESS,4,4,RELATIONSHIP_CONFIRMED_OOS,564,-0.6156442869323406,1.1313876765379791,0.5,1.7470319634703195
EUR_ACCUMULATION_JPY_WEAKNESS,4,6,inner_sel,820,-1.5773996291233727,0.218148316082107,0.4853658536585366,1.7955479452054794
EUR_ACCUMULATION_JPY_WEAKNESS,4,6,inner_val,304,-0.7138215413563624,1.0817264038491172,0.4407894736842105,1.7955479452054792
EUR_ACCUMULATION_JPY_WEAKNESS,4,6,RELATIONSHIP_CONFIRMED_OOS,564,-0.282759957217382,1.512787987988098,0.526595744680851,1.7955479452054794
EUR_ACCUMULATION_JPY_WEAKNESS,4,8,inner_sel,820,-0.7149792655160856,1.1290846614245544,0.524390243902439,1.84406392694064
EUR_ACCUMULATION_JPY_WEAKNESS,4,8,inner_val,304,-1.2575597753921857,0.5865041515484544,0.4309210526315789,1.84406392694064
EUR_ACCUMULATION_JPY_WEAKNESS,4,8,RELATIONSHIP_CONFIRMED_OOS,564,-0.3541092151193751,1.4899547118212648,0.5053191489361702,1.84406392694064
EUR_ACCUMULATION_JPY_WEAKNESS,4,12,inner_sel,820,-0.5021639606306093,1.4389319297803496,0.5292682926829269,1.941095890410959
EUR_ACCUMULATION_JPY_WEAKNESS,4,12,inner_val,304,-3.8185126810028063,-1.8774167905918475,0.4934210526315789,1.941095890410959
EUR_ACCUMULATION_JPY_WEAKNESS,4,12,RELATIONSHIP_CONFIRMED_OOS,564,0.3689415927433294,2.3100374831542885,0.5195035460992907,1.9410958904109583
EUR_LIQUIDATION_JPY_STRENGTH,0,4,inner_sel,1004,7.648339500805494,9.201307537335174,0.5657370517928287,1.5529680365296803
EUR_LIQUIDATION_JPY_STRENGTH,0,4,inner_val,288,3.1732547153380315,4.726222751867712,0.5659722222222222,1.5529680365296803
EUR_LIQUIDATION_JPY_STRENGTH,0,4,RELATIONSHIP_CONFIRMED_OOS,544,3.264248530383888,4.817216566913568,0.5165441176470589,1.5529680365296803
EUR_LIQUIDATION_JPY_STRENGTH,0,6,inner_sel,1004,10.546816613795146,12.051268668589666,0.5826693227091634,1.5044520547945206
