participation,sign,rank_band,horizon,state,n,n_valid,prob,assets
MULTI_BAND,UP,751-1000,14D,NEW_EXTREME,365,1653,0.220810647307925,287
MULTI_BAND,UP,751-1000,21D,STABILIZED,892,1652,0.5399515738498789,627
MULTI_BAND,UP,751-1000,21D,1S_RECOVERY,458,1652,0.2772397094430993,359
MULTI_BAND,UP,751-1000,21D,25P_GIVEBACK,620,1652,0.37530266343825663,491
MULTI_BAND,UP,751-1000,21D,50P_GIVEBACK,472,1652,0.2857142857142857,393
MULTI_BAND,UP,751-1000,21D,FULL_REVERSAL,760,1652,0.4600484261501211,584
MULTI_BAND,UP,751-1000,21D,NEW_EXTREME,461,1652,0.27905569007263925,362
MULTI_BAND,UP,751-1000,30D,STABILIZED,880,1653,0.5323653962492438,621
MULTI_BAND,UP,751-1000,30D,1S_RECOVERY,474,1653,0.2867513611615245,368
MULTI_BAND,UP,751-1000,30D,25P_GIVEBACK,678,1653,0.4101633393829401,527
MULTI_BAND,UP,751-1000,30D,50P_GIVEBACK,557,1653,0.3369630973986691,446
MULTI_BAND,UP,751-1000,30D,FULL_REVERSAL,773,1653,0.4676346037507562,591
MULTI_BAND,UP,751-1000,30D,NEW_EXTREME,515,1653,0.3115547489413188,390
