date,direction,entry_price,exit_price,pnl_pips,exit_reason,signal_type,tier
2025-05-14,1,1.12136,1.122625,12.150000000000716,tp2_ar50,cascade_2,T3
2025-05-14,1,1.12409,1.1250236,8.835999999999789,kill_switch_132,cascade_3,T3
2025-05-15,1,1.12135,1.122085,6.8499999999993015,tp1_ar25,signal1,T2
2025-05-15,1,1.12135,1.12282,14.199999999998603,tp2_ar50,signal2,T2
2025-05-15,1,1.12214,1.12282,6.300000000000139,tp2_ar50,cascade_2,T2
2025-05-15,1,1.12166,1.11984,-18.70000000000155,hard_exit_12pm,cascade_3,T2
2025-05-16,1,1.12087,1.1211725000000001,2.5250000000009436,tp1_ar25,signal1,T1
2025-05-16,1,1.12087,1.1214750000000002,5.550000000001887,tp2_ar50,signal2,T1
2025-05-16,1,1.1214,1.1214750000000002,0.25000000000269296,tp2_ar50,cascade_2,T1
2025-05-16,1,1.12097,1.1214750000000002,4.550000000001997,tp2_ar50,cascade_3,T1
2025-05-23,1,1.13226,1.13259,2.7999999999994145,tp1_ar25,signal1,T1
2025-05-23,1,1.13226,1.13292,6.099999999998829,tp2_ar50,signal2,T1
2025-05-23,1,1.13255,1.13292,3.1999999999998145,tp2_ar50,cascade_2,T1
2025-05-23,1,1.13284,1.1338324,9.423999999998934,kill_switch_132,cascade_3,T1
2025-05-26,-1,1.13759,1.1381020000000002,-5.62000000000068,sl_80pct_body,signal1,T3
2025-05-26,-1,1.13759,1.1381020000000002,-5.62000000000068,sl_80pct_body,signal2,T3
2025-05-30,-1,1.13439,1.1340474999999999,2.9250000000013436,tp1_ar25,signal1,T1
2025-05-30,-1,1.13439,1.133705,6.350000000000467,tp2_ar50,signal2,T1
2025-05-30,-1,1.1339,1.1327416,11.084000000000039,kill_switch_132,cascade_2,T1
2025-05-30,-1,1.13321,1.1327416,4.184000000001465,kill_switch_132,cascade_3,T1
2025-06-06,-1,1.14317,1.143546,-4.259999999999319,sl_80pct_body,signal1,T1
2025-06-06,-1,1.14317,1.143546,-4.259999999999319,sl_80pct_body,signal2,T1
2025-06-06,-1,1.14255,1.1429025,-4.024999999999778,tp1_ar25,cascade_2,T1
2025-06-06,-1,1.14262,1.1418976,6.723999999999009,kill_switch_132,cascade_3,T1
2025-06-13,-1,1.15136,1.151968,-6.58000000000164,sl_80pct_body,signal1,T3
2025-06-13,-1,1.15136,1.151968,-6.58000000000164,sl_80pct_body,signal2,T3
2025-06-16,1,1.15703,1.1580249999999999,9.449999999998571,tp1_ar25,signal1,T3
2025-06-16,1,1.15703,1.15902,19.399999999999363,tp2_ar50,signal2,T3
2025-06-16,1,1.15757,1.15902,13.999999999999513,tp2_ar50,cascade_2,T3
2025-06-20,-1,1.1508,1.151616,-8.659999999999279,sl_80pct_body,signal1,T2
2025-06-20,-1,1.1508,1.151616,-8.659999999999279,sl_80pct_body,signal2,T2
2025-06-26,-1,1.16782,1.168396,-6.259999999999099,sl_80pct_body,signal1,T3
2025-06-26,-1,1.16782,1.168396,-6.259999999999099,sl_80pct_body,signal2,T3
2025-06-27,1,1.17121,1.1718225,5.624999999999048,tp1_ar25,signal1,T2
