alloc_id,heat_id,edge,scheme,f_from,f_to,d_median_cagr,d_p95_dd,d_p99_dd,d_P_dd_ge_10,d_P_dd_ge_20,d_median_dur,inc_ret_per_p95_dd,inc_ret_per_p95_dd_flag,inc_ret_per_p99_dd,inc_ret_per_p99_dd_flag
A0_50_50,H1-1.00-REJ,1.0,episode,1.0,1.5,0.5082191321399235,0.03936156569199445,0.04741729314942007,0.17149999999999999,0.0002,1.0,12.91155784088354,OK,10.718012319649656,OK
A0_50_50,H1-1.00-REJ,1.0,episode,1.5,2.0,0.6506879754469095,0.03799957392029871,0.04533967149230744,0.4171,0.0071,0.0,17.123559774951143,OK,14.351404719756482,OK
A0_50_50,H1-1.00-REJ,1.0,episode,2.0,3.0,1.8885477828075967,0.07235842507209087,0.0850895316462722,0.38639999999999997,0.1389,1.0,26.099901717402393,OK,22.194831094599575,OK
A0_50_50,H1-1.00-REJ,1.0,iid,0.25,0.5,0.16564273391502216,0.018883663254522304,0.023270601701571653,0.0,0.0,0.0,8.771747922128068,OK,7.118111342339504,OK
A0_50_50,H1-1.00-REJ,1.0,iid,0.5,0.75,0.18840150126379407,0.0185670497833094,0.02277954365489933,0.0005,0.0,0.0,10.147088711592462,OK,8.270644228786974,OK
A0_50_50,H1-1.00-REJ,1.0,iid,0.75,1.0,0.21414463637948844,0.018349219661883076,0.02229751498206735,0.0045000000000000005,0.0,1.0,11.670503723072875,OK,9.603968718115587,OK
A0_50_50,H1-1.00-REJ,1.0,iid,1.0,1.5,0.5189847141383905,0.03581012209538589,0.043181426772853276,0.095,0.0005,0.0,14.492682062239082,OK,12.018702320059951,OK
A0_50_50,H1-1.00-REJ,1.0,iid,1.5,2.0,0.6674189995822504,0.03469696784452175,0.04135150570489074,0.3345,0.0015,1.0,19.235657783497874,OK,16.140137782293937,OK
A0_50_50,H1-1.00-REJ,1.0,iid,2.0,3.0,1.9467766720584345,0.06621572668953646,0.07749086774680827,0.527,0.0775,0.0,29.400518115374968,OK,25.12265933605601,OK
A0_50_50,H1-1.00-REJ,0.75,block,0.25,0.5,0.07801791146485137,0.026158608314684282,0.03239017214471696,0.0001,0.0,0.0,2.9824947308475727,OK,2.4086908558643327,OK
A0_50_50,H1-1.00-REJ,0.75,block,0.5,0.75,0.08302913580941451,0.025675824329429366,0.03162992837379744,0.008,0.0,1.0,3.233747619711176,OK,2.625018141937897,OK
A0_50_50,H1-1.00-REJ,0.75,block,0.75,1.0,0.08823653305595336,0.025158280303035643,0.03087527339141337,0.05500000000000001,0.0001,0.0,3.5072561396538133,OK,2.857838113281049,OK
A0_50_50,H1-1.00-REJ,0.75,block,1.0,1.5,0.19323233048746102,0.048807157714563607,0.05885276212041604,0.3575,0.0052,1.0,3.959098204766025,OK,3.2833179535753456,OK
A0_50_50,H1-1.00-REJ,0.75,block,1.5,2.0,0.21776460134750708,0.04697099590009479,0.055534756220863096,0.4302,0.0436,1.0,4.6361503982304875,OK,3.9212308861400578,OK
A0_50_50,H1-1.00-REJ,0.75,block,2.0,3.0,0.5196076440567976,0.08747149057919501,0.10128882079641366,0.14849999999999997,0.3195,2.0,5.940308557864975,OK,5.129960443524044,OK
A0_50_50,H1-1.00-REJ,0.75,episode,0.25,0.5,0.07782986001901371,0.02664451897383747,0.032799100797993405,0.0,0.0,0.0,2.9210457916480177,OK,2.372926639006372,OK
A0_50_50,H1-1.00-REJ,0.75,episode,0.5,0.75,0.08279456932201135,0.026078228378660126,0.03193826101225268,0.009,0.0,1.0,3.174854062930223,OK,2.592331789456174,OK
A0_50_50,H1-1.00-REJ,0.75,episode,0.75,1.0,0.08796695423867784,0.02555102170530131,0.031078325639438964,0.0594,0.0,0.0,3.4427959575654272,OK,2.8304920689500133,OK
A0_50_50,H1-1.00-REJ,0.75,episode,1.0,1.5,0.1927477655457368,0.04924572463297279,0.059063745941483364,0.382,0.0053,1.0,3.913999986441083,OK,3.2633853893503324,OK
A0_50_50,H1-1.00-REJ,0.75,episode,1.5,2.0,0.21703989005874902,0.04725009730722768,0.05601264339667433,0.39069999999999994,0.0478,1.0,4.5934273668797125,OK,3.8748374812754407,OK
A0_50_50,H1-1.00-REJ,0.75,episode,2.0,3.0,0.5173046505912658,0.08810375251872271,0.10190372697449579,0.15670000000000006,0.3438,2.0,5.871539359022588,OK,5.076405603111411,OK
A0_50_50,H1-1.00-REJ,0.75,iid,0.25,0.5,0.07900198339226017,0.023972960719439097,0.029472526627375106,0.0,0.0,1.0,3.2954620965194072,OK,2.6805297147099827,OK
