entry_z,model,result,best_pnl,final_pnl,giveback,capture_ratio,conv_min,speed,prev_profitable_loser
2.5,TB-C-10%,TP_HIT,52.667237469139394,52.61795280456131,0.04928466457808156,0.9990642253714758,290.0,slow,False
2.5,TB-B,TP_HIT,43.572471436488,42.826938286774364,0.745533149713637,0.9828898126469521,350.0,slow,False
2.5,TB-C-2.5%,TP_HIT,41.25532490721058,41.28725051138595,-0.03192560417537038,1.0007738541448208,350.0,slow,False
2.5,TB-C-5%,TP_HIT,39.500286679507155,39.63902434526159,-0.1387376657544337,1.0035123204770666,350.0,slow,False
2.5,TB-C-10%,TP_HIT,36.20831968074994,36.34257201301283,-0.13425233226288924,1.0037077758218718,350.0,slow,False
2.5,TB-B,TP_HIT,32.29509337798012,32.26505272609768,0.030040651882444536,0.9990698075546384,50.0,early,False
2.5,TB-C-2.5%,TP_HIT,32.49797764662057,32.46773462113434,0.030243025486228703,0.9990693874611187,50.0,early,False
2.5,TB-C-5%,TP_HIT,32.75144032787142,32.720960079283685,0.030480248587736014,0.9990693463162963,50.0,early,False
2.5,TB-C-10%,TP_HIT,33.2583656903731,33.227410995582346,0.030954694790750636,0.9990692659080446,50.0,early,False
2.5,TB-B,TIMEOUT,5.595111789889481,0.5867379646313502,5.008373825258131,0.10486617366459088,225.0,slow,False
2.5,TB-C-2.5%,TIMEOUT,5.836707284312315,0.1889906576589233,5.647716626653391,0.032379670326604416,225.0,slow,False
2.5,TB-C-5%,TIMEOUT,6.022849795937027,-0.27343835864310684,6.296288154580134,-0.045400162366255,225.0,slow,True
2.5,TB-C-10%,TIMEOUT,6.395134819186417,-1.1982963912471956,7.593431210433613,-0.18737625165494817,225.0,slow,True
2.5,TB-B,TP_HIT,41.62872854689036,41.65229643857772,-0.02356789168736384,1.0005661448838346,155.0,early,False
2.5,TB-C-2.5%,TP_HIT,42.534866373268386,42.56458891450596,-0.02972254123757523,1.0006987806421381,155.0,early,False
2.5,TB-C-5%,TP_HIT,43.61305223060472,43.648616958053694,-0.03556472744897121,1.0008154606391895,155.0,early,False
2.5,TB-C-10%,TP_HIT,45.769423945277424,45.81667304514916,-0.04724909987173476,1.0010323289174061,155.0,early,False
2.5,TB-B,TP_HIT,32.321552385130346,32.37452439278424,-0.052972007653892206,1.0016389066658278,145.0,early,False
2.5,TB-C-2.5%,TP_HIT,33.736553226852905,33.79203562021857,-0.05548239336566496,1.001644578003941,145.0,early,False
2.5,TB-C-5%,TP_HIT,35.14319142797332,35.201180173562264,-0.0579887455889434,1.0016500705608309,145.0,early,False
2.5,TB-C-10%,TP_HIT,37.95646783021414,38.01946928024965,-0.0630014500355145,1.001659834374403,145.0,early,False
2.5,TB-B,TP_HIT,44.499540914970936,44.49840987501483,0.0011310399561068607,0.9999745831095591,210.0,slow,False
2.5,TB-C-2.5%,TP_HIT,43.798928939608615,43.7982223569374,0.0007065826712135959,0.9999838675810501,210.0,slow,False
2.5,TB-C-5%,TP_HIT,43.10559664906391,43.105280564410634,0.000316084653277926,0.9999926672015272,210.0,slow,False
2.5,TB-C-10%,TP_HIT,41.71893206797455,41.7193969793571,-0.0004649113825507811,1.0000111438946182,210.0,slow,False
2.5,TB-B,TP_HIT,22.81599753730033,22.842661060742703,-0.026663523442373105,1.001168632815584,275.0,slow,False
2.5,TB-C-2.5%,TP_HIT,22.042152868541006,22.06809278648434,-0.025939917943333057,1.0011768323220531,275.0,slow,False
2.5,TB-C-5%,TP_HIT,21.243759152183983,21.268954347745403,-0.02519519556141958,1.0011860045757877,275.0,slow,False
2.5,TB-C-10%,TP_HIT,19.646971719469956,19.670677470267567,-0.023705750797610392,1.0012065854797418,275.0,slow,False
2.5,TB-B,TIMEOUT,6.7875094873383475,-13.408402784172594,20.19591227151094,-1.9754525292649812,290.0,slow,True
2.5,TB-C-2.5%,TIMEOUT,5.4498245869467485,-13.71926433108376,19.16908891803051,-2.5173772315431435,290.0,slow,True
2.5,TB-C-5%,TIMEOUT,4.07793749791119,-14.029705489706782,18.10764298761797,-3.4403924770531935,290.0,slow,True
2.5,TB-C-10%,TIMEOUT,1.3341633198400409,-14.650587806952824,15.984751126792865,-10.981105228338425,290.0,slow,True
2.5,TB-B,TP_HIT,26.349322943054556,23.53741489256402,2.811908050490537,0.8932834799373192,285.0,slow,False
2.5,TB-C-2.5%,TP_HIT,25.526002454890286,23.28725787598722,2.2387445789030664,0.9122955275562874,285.0,slow,False
2.5,TB-C-5%,TP_HIT,24.540820567797414,23.621290903674865,0.9195296641225497,0.962530606440717,285.0,slow,False
2.5,TB-C-10%,TP_HIT,26.35580697839084,26.282512644889334,0.07329433350150794,0.9972190442295468,285.0,slow,False
2.5,TB-B,TP_HIT,95.69700234209832,95.86704836925122,-0.17004602715290673,1.0017769211468612,5.0,early,False
2.5,TB-C-2.5%,TP_HIT,93.12300538458452,93.28864119274901,-0.1656358081644953,1.0017786776477031,5.0,early,False
2.5,TB-C-5%,TP_HIT,90.4272604080753,90.5881002971656,-0.16083988909029756,1.0017786659505603,5.0,early,False
