time,open,high,low,close,tick_volume,spread,real_volume
2023-09-08,89.46,90.68,88.97,90.05,24725,6,0
2023-09-11,90.2,91.12,89.79,90.24,25666,7,0
2023-09-12,90.27,91.97,90.17,91.54,22403,7,0
2023-09-13,91.59,92.35,91.13,91.49,23556,7,0
2023-09-14,91.57,93.66,91.53,93.35,21202,7,0
2023-09-15,93.4,94.05,92.13,93.62,26553,7,0
2023-09-18,93.52,94.17,92.97,93.73,25280,7,0
2023-09-19,93.73,94.86,93.21,93.33,29040,7,0
2023-09-20,93.44,93.69,91.86,91.89,31847,7,0
2023-09-21,92.04,93.56,91.23,92.0,33053,7,0
2023-09-22,92.36,93.44,91.67,92.23,33443,6,0
2023-09-25,92.35,92.76,91.23,91.91,29925,6,0
2023-09-26,91.82,92.65,90.38,92.45,27237,7,0
2023-09-27,92.44,94.65,92.44,93.9,32512,6,0
2023-09-28,94.2,95.09,92.55,92.67,36941,6,0
2023-09-29,92.71,93.84,91.67,91.83,32561,6,0
2023-10-02,91.85,92.95,89.83,89.85,30222,6,0
2023-10-03,89.97,91.12,89.15,90.34,31375,7,0
2023-10-04,90.49,90.68,85.27,85.33,34398,6,0
2023-10-05,85.3,85.95,83.31,83.72,42004,6,0
2023-10-06,83.91,84.37,82.94,83.8,36195,7,0
2023-10-09,85.47,88.31,85.34,87.39,46425,7,0
2023-10-10,87.4,87.67,86.2,86.78,35223,6,0
2023-10-11,86.97,87.48,84.62,84.89,37640,7,0
2023-10-12,84.93,86.87,84.58,85.38,34706,7,0
2023-10-13,85.65,90.05,85.49,89.88,34701,6,0
2023-10-16,89.78,90.37,88.58,88.91,35429,6,0
2023-10-17,88.9,89.85,87.91,89.62,32905,7,0
2023-10-18,90.3,91.89,89.63,90.07,36981,7,0
