date,AFTERNOON,ASIA,LONDON,NEXT_ASIA,OVERLAP,REST_NY,RV_19_TO_17,RV_19_TO_NEXT_03,RV_24H_19_TO_19,share_17,share_next03,share_24h,range_share_17,range_share_next03
2023-06-07,4.357369886490234e-06,1.1520600125085261e-06,3.3817564663325403e-06,1.5597990138307574e-06,2.720752773711788e-06,4.501410108929776e-07,1.1611939139043089e-05,1.3621879163766824e-05,1.2062080149936066e-05,0.37524911509735265,0.31988023341746497,0.36124531028865114,0.3894652833200337,0.31342324983943737
2023-06-08,2.6884884168781492e-06,1.5597990138307574e-06,2.1325084133021704e-06,8.263229383914347e-07,3.9919565336161706e-06,2.3888707787925294e-07,1.0372752377627248e-05,1.1437962393897936e-05,1.0611639455506501e-05,0.25918756362842404,0.2350495940004521,0.253352785698261,0.34453781512605025,0.30227882037533066
2023-06-09,2.5930515163293896e-06,8.263229383914347e-07,2.330351855892635e-06,1.400010302972629e-07,2.18416440846925e-06,2.447138219044374e-07,7.93389071908271e-06,8.31860557128441e-06,8.178604540987147e-06,0.3268322703377479,0.3117170893737924,0.31705305022810304,0.33870967741935026,0.29549718574108375
2023-06-13,6.727250394948473e-06,1.0498998923562535e-06,2.7904118105549335e-06,1.011163777128755e-06,8.251394589698606e-06,7.579620772765488e-07,1.8818956687558267e-05,2.058808254196357e-05,1.9576918764834815e-05,0.35747201646922566,0.3267545863601763,0.3436317265121591,0.2787921348314621,0.23987915407855065
2023-06-14,2.3859152733353375e-06,1.011163777128755e-06,2.1284253961605513e-06,3.2742484798561103e-06,2.5734664677346533e-06,6.867671195437952e-06,8.098970914359298e-06,1.824089058965336e-05,1.496664210979725e-05,0.29459486872648993,0.13080037192310565,0.15941553595201582,0.32031250000001743,0.18044009779951975
2023-06-15,1.010478996415648e-05,3.2742484798561103e-06,2.5243836171239054e-06,1.3446001895101696e-06,1.1845068354624001e-05,3.7635294470715323e-07,2.7748490415760498e-05,2.946944354997782e-05,2.812484336046765e-05,0.3641563851854512,0.3428904229908368,0.3592834219428862,0.4025460930640865,0.36088154269972156
2023-06-16,7.834385162045537e-06,1.3446001895101696e-06,3.353297822232423e-06,1.7853249928008442e-07,3.1706377309310616e-06,4.57803347962367e-07,1.5702920904719194e-05,1.6339256751961645e-05,1.616072425268156e-05,0.4989126041952534,0.47948234616638624,0.4847793353534618,0.3963170536429186,0.347856640899515
2023-06-20,4.2357597465573626e-06,1.2142699180486852e-06,4.976499311569315e-06,1.0481271628030754e-06,2.3850993371554296e-06,4.4119712612774195e-07,1.2811628313330792e-05,1.4300952602261608e-05,1.3252825439458533e-05,0.3306183759756719,0.2961872446096705,0.3196118266181903,0.29528985507246314,0.25290923196276366
2023-06-21,4.1007316140995426e-06,1.0481271628030754e-06,1.6131326341107272e-06,7.038134773994696e-07,2.779250193416325e-06,6.274324527382294e-07,9.54124160442967e-06,1.0872487534567368e-05,1.0168674057167899e-05,0.42979014515214814,0.3771659062438021,0.403271025410529,0.5325077399380876,0.44215938303342456
2023-06-22,5.112226395291206e-06,7.038134773994696e-07,2.814801846833374e-06,1.2433148321639382e-06,4.14670582088395e-06,5.417866975097399e-07,1.2777547540407999e-05,1.4562649070081677e-05,1.3319334237917739e-05,0.40009449224306837,0.35105057951262797,0.38381996456982215,0.37281910009182834,0.2777017783857766
2023-06-23,3.8897968607326865e-06,1.2433148321639382e-06,1.6359657626481313e-05,2.0393902168877104e-08,2.461896362670387e-06,3.7119841908669374e-07,2.3954665682048324e-05,2.4346258003303895e-05,2.4325864101135017e-05,0.16238159665270172,0.15976980364723087,0.1599037487244366,0.12223393045311381,0.11485148514851982
2023-06-27,6.214736537744531e-06,3.3119757422597343e-06,2.2294023266173265e-06,1.0709233050229657e-06,3.506444183602586e-06,1.377428883052407e-07,1.5262558790224176e-05,1.647122498355238e-05,1.5400301678529415e-05,0.4071883766780399,0.377308703144445,0.4035464153542465,0.24360795454545606,0.20453190220632403
2023-06-28,8.280031094106884e-06,1.0709233050229657e-06,2.30813890970037e-06,1.9414845011431104e-06,2.816632709771538e-06,3.052913145612419e-07,1.4475726018601757e-05,1.672250183430611e-05,1.4781017333163e-05,0.5719941841581407,0.4951430818276516,0.5601800544222103,0.36805555555555497,0.2840976771888017
2023-06-29,4.117144950031513e-06,1.9414845011431104e-06,4.286314979307473e-06,1.5649705352364126e-06,1.0841740593289445e-05,3.36205218998278e-07,2.118668502377154e-05,2.308786077800623e-05,2.1522890242769817e-05,0.19432700044448015,0.17832509428303353,0.19129145312696025,0.20898100172711567,0.18539325842696386
2023-06-30,6.406026999550882e-06,1.5649705352364126e-06,3.01069775769328e-06,4.049932256764945e-08,4.429943592617953e-06,3.087010772247676e-07,1.5411638885098527e-05,1.5760839284890946e-05,1.5720339962323296e-05,0.41566163386717114,0.40645214913726,0.4074992662311446,0.2321778940483968,0.21528198908429427
2023-07-04,1.1062558896242543e-06,1.03210054072261e-06,2.4020188278458876e-06,9.539399665802904e-07,1.4846834173896244e-06,4.528584843101821e-07,6.025058675582377e-06,7.431857126472849e-06,6.477917159892559e-06,0.1836091479254058,0.14885322346734645,0.17077339248385856,0.23652694610781214,0.16171954964177723
2023-07-05,3.3025392969853055e-06,9.539399665802904e-07,5.480204535206695e-06,1.110951533245711e-06,2.996505900839807e-06,6.601108101471194e-07,1.2733189699612098e-05,1.4504252043004928e-05,1.3393300509759218e-05,0.25936465056245206,0.22769456068422675,0.24658143782997055,0.3401574803149704,0.27221172022684864
2023-07-06,1.6867802663521667e-05,1.110951533245711e-06,5.484012005058318e-06,7.766396746920985e-07,1.1462772400890858e-05,5.802254680500658e-07,3.492553860271655e-05,3.628240374545871e-05,3.550576407076662e-05,0.48296471116438755,0.46490311892945974,0.4750722341843542,0.3494519664732338,0.3026242322724671
2023-07-07,4.163097208156966e-06,7.766396746920985e-07,3.4534115711172522e-06,2.64417725315351e-08,1.539779781250685e-05,3.745321942906227e-07,2.379094626647317e-05,2.419192023329533e-05,2.4165478460763793e-05,0.17498661724202677,0.1720862654973249,0.17227456161964128,0.4206263498920046,0.3952308472856332
2023-07-12,7.435904445580279e-06,2.0021468699224154e-06,2.353662244648943e-06,1.9677353614463407e-06,1.4715845547679332e-05,5.347642014164179e-07,2.6507559107830968e-05,2.9010058670693726e-05,2.7042323309247385e-05,0.2805201495668281,0.25632159279609146,0.27497284018631263,0.4196525515743691,0.3542621448212628
2023-07-13,4.340244487126721e-06,1.9677353614463407e-06,5.010480746466614e-06,3.5156194140828912e-06,5.904877535971388e-06,3.056478358920739e-07,1.7223338131011063e-05,2.1044605380986027e-05,1.7528985966903136e-05,0.25199786789948686,0.20624024107613667,0.24760385428578882,0.30375180375180755,0.2256162915326913
