checkpoint,model,condition,n,quantile,prediction
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|24,1,0.1,33.700000000000955
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|24,1,0.25,33.700000000000955
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|24,1,0.5,33.700000000000955
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|24,1,0.75,33.700000000000955
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|24,1,0.9,33.700000000000955
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|25,2,0.1,28.590000000001226
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|25,2,0.25,29.475000000001028
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|25,2,0.5,30.9500000000007
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|25,2,0.75,32.42500000000037
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|25,2,0.9,33.31000000000017
