origin_currency,direction,severity,session,horizon_h,destination,n_events,count,prob,ci_low,ci_high,se,group_by,regime_dispersion,regime_vol,network_state
EUR,LIQUIDATION,LOW,London,1,USD,140,140,0.2357142857142857,0.16428571428571428,0.3,0.0337323547464878,severity_session,,,
EUR,LIQUIDATION,LOW,London,1,CHF,140,140,0.15714285714285714,0.09982142857142857,0.22142857142857142,0.0323644352818129,severity_session,,,
EUR,LIQUIDATION,LOW,London,1,JPY,140,140,0.17857142857142858,0.11428571428571428,0.2501785714285715,0.03459804422416116,severity_session,,,
EUR,LIQUIDATION,LOW,NY_Late,1,EUR,59,59,0.3728813559322034,0.2711864406779661,0.4915254237288136,0.060287626153671635,severity_session,,,
EUR,LIQUIDATION,LOW,NY_Late,1,GBP,59,59,0.1694915254237288,0.0847457627118644,0.2711864406779661,0.049759751308271954,severity_session,,,
EUR,LIQUIDATION,LOW,NY_Late,1,USD,59,59,0.1864406779661017,0.10127118644067798,0.288135593220339,0.05224383621240411,severity_session,,,
EUR,LIQUIDATION,LOW,NY_Late,1,CHF,59,59,0.0847457627118644,0.01694915254237288,0.15254237288135594,0.03848532252848264,severity_session,,,
EUR,LIQUIDATION,LOW,NY_Late,1,JPY,59,59,0.1694915254237288,0.0847457627118644,0.2711864406779661,0.04750011786111764,severity_session,,,
EUR,LIQUIDATION,LOW,NY_Overlap,1,EUR,81,81,0.09876543209876543,0.04938271604938271,0.1728395061728395,0.03316338540143896,severity_session,,,
EUR,LIQUIDATION,LOW,NY_Overlap,1,GBP,81,81,0.12345679012345678,0.06172839506172839,0.19753086419753085,0.03622742509724846,severity_session,,,
EUR,LIQUIDATION,LOW,NY_Overlap,1,USD,81,81,0.3333333333333333,0.23425925925925925,0.41975308641975306,0.052728019146635594,severity_session,,,
EUR,LIQUIDATION,LOW,NY_Overlap,1,CHF,81,81,0.24691358024691357,0.14814814814814814,0.345679012345679,0.048677851558861895,severity_session,,,
EUR,LIQUIDATION,LOW,NY_Overlap,1,JPY,81,81,0.19753086419753085,0.12345679012345678,0.2839506172839506,0.04358271520619777,severity_session,,,
EUR,LIQUIDATION,MEDIUM,Asia,1,EUR,33,33,0.15151515151515152,0.06060606060606061,0.2727272727272727,0.054584355787768886,severity_session,,,
EUR,LIQUIDATION,MEDIUM,Asia,1,GBP,33,33,0.18181818181818182,0.059848484848484866,0.3333333333333333,0.07018486417240012,severity_session,,,
EUR,LIQUIDATION,MEDIUM,Asia,1,USD,33,33,0.30303030303030304,0.12121212121212122,0.45454545454545453,0.07699027553143406,severity_session,,,
EUR,LIQUIDATION,MEDIUM,Asia,1,CHF,33,33,0.09090909090909091,0.0,0.18257575757575775,0.051009485366932505,severity_session,,,
EUR,LIQUIDATION,MEDIUM,Asia,1,JPY,33,33,0.2727272727272727,0.12121212121212122,0.42424242424242425,0.08071920395415426,severity_session,,,
EUR,LIQUIDATION,MEDIUM,London,1,EUR,31,31,0.1935483870967742,0.06451612903225806,0.3556451612903228,0.07584153659833714,severity_session,,,
EUR,LIQUIDATION,MEDIUM,London,1,GBP,31,31,0.1935483870967742,0.06451612903225806,0.3225806451612903,0.06775081185236068,severity_session,,,
EUR,LIQUIDATION,MEDIUM,London,1,USD,31,31,0.12903225806451613,0.03225806451612903,0.25806451612903225,0.05949301858802972,severity_session,,,
EUR,LIQUIDATION,MEDIUM,London,1,CHF,31,31,0.1935483870967742,0.09596774193548388,0.3548387096774194,0.07432276413406504,severity_session,,,
EUR,LIQUIDATION,MEDIUM,London,1,JPY,31,31,0.2903225806451613,0.12903225806451613,0.45161290322580644,0.07949018949103184,severity_session,,,
EUR,LIQUIDATION,MEDIUM,NY_Late,1,EUR,6,6,0.3333333333333333,0.0,0.6708333333333343,0.193154772274683,severity_session,,,
EUR,LIQUIDATION,MEDIUM,NY_Late,1,GBP,6,6,0.3333333333333333,0.0,0.6666666666666666,0.1806604299639904,severity_session,,,
EUR,LIQUIDATION,MEDIUM,NY_Late,1,USD,6,6,0.0,0.0,0.0,0.0,severity_session,,,
EUR,LIQUIDATION,MEDIUM,NY_Late,1,CHF,6,6,0.16666666666666666,0.0,0.5,0.1576961966956125,severity_session,,,
