date,time,open,high,low,close,tickvol,spread
2021.10.26,02:00:00,4219.28,4257.33,4203.63,4238.72,4373.0,42.0
2021.10.26,03:00:00,4238.72,4239.05,4215.75,4217.33,2535.0,42.0
2021.10.26,04:00:00,4217.33,4247.14,4216.81,4232.47,2608.0,42.0
2021.10.26,05:00:00,4232.47,4239.41,4220.03,4223.88,2701.0,42.0
2021.10.26,06:00:00,4223.83,4230.05,4190.36,4205.92,2877.0,41.0
2021.10.26,07:00:00,4205.61,4215.82,4197.02,4198.13,1789.0,42.0
2021.10.26,08:00:00,4198.17,4206.3,4177.63,4189.94,1966.0,41.0
2021.10.26,09:00:00,4189.94,4201.52,4177.4,4197.46,1857.0,41.0
2021.10.26,10:00:00,4197.46,4232.41,4197.05,4212.26,2963.0,42.0
2021.10.26,11:00:00,4212.26,4215.67,4201.06,4207.13,3060.0,42.0
2021.10.26,12:00:00,4206.85,4229.06,4195.62,4225.35,3099.0,42.0
2021.10.26,13:00:00,4225.66,4228.72,4201.95,4212.86,2750.0,42.0
2021.10.26,14:00:00,4212.87,4221.14,4180.93,4189.61,2920.0,41.0
2021.10.26,15:00:00,4189.15,4205.59,4184.12,4185.98,3153.0,41.0
2021.10.26,16:00:00,4185.98,4186.4,4132.95,4150.46,4713.0,41.0
2021.10.26,17:00:00,4150.46,4198.84,4133.07,4185.7,4677.0,41.0
2021.10.26,18:00:00,4185.6,4196.24,4141.69,4165.64,3383.0,41.0
2021.10.26,19:00:00,4165.64,4216.36,4157.66,4215.63,3442.0,41.0
2021.10.26,20:00:00,4215.63,4227.82,4202.55,4209.49,4179.0,42.0
2021.10.26,21:00:00,4209.49,4227.94,4204.25,4210.35,2663.0,42.0
2021.10.26,22:00:00,4210.35,4294.61,4204.75,4262.73,5403.0,42.0
2021.10.26,23:00:00,4262.73,4274.11,4184.14,4201.05,4251.0,42.0
2021.10.27,00:00:00,4260.84,4303.44,3937.44,4117.93,116629.0,0
2021.10.27,01:00:00,4117.46,4141.46,4097.77,4128.16,9158.0,41.0
2021.10.27,02:00:00,4128.26,4159.97,4115.04,4155.64,7731.0,41.0
2021.10.27,03:00:00,4155.64,4174.53,4146.69,4147.95,6692.0,41.0
2021.10.27,04:00:00,4147.95,4188.15,4144.54,4178.41,7275.0,41.0
