n,coverage,win_rate,expectancy_bps,median_bps,profit_factor,mfe_bps,mae_bps,time_to_mfe_h,time_to_mae_h,failure_rate,family,sequence_code,eligible,status,expect_ci_low,expect_ci_high,expect_se
1,0.004016064257028112,0.0,-2.212272479938119,-2.212272479938119,0.0,2.4120830223203966,-14.809469881898925,2.0,5.0,1.0,B,PO-MO-PA-PA,False,exploratory,,,
1,0.004016064257028112,1.0,46.87977282054829,46.87977282054829,,50.044472318722704,0.0,1.0,5.0,0.0,B,PO-MO-MA-PA,False,exploratory,,,
1,0.004016064257028112,1.0,29.866891932514122,29.866891932514122,,40.07956404935012,0.0,1.0,5.0,0.0,B,PA-TA-PO,False,exploratory,,,
1,0.004016064257028112,0.0,-12.18567345674648,-12.18567345674648,0.0,3.2734429840703907,-21.990955040787245,5.0,3.0,1.0,B,PA-PO-PO-PA,False,exploratory,,,
1,0.004016064257028112,0.0,-7.590429682897511,-7.590429682897511,0.0,7.047311334133522,-12.200585067042317,5.0,2.0,1.0,B,PA-PO-PO-TO,False,exploratory,,,
1,0.004016064257028112,1.0,43.47433753236289,43.47433753236289,,50.381834082189755,0.0,1.0,5.0,0.0,B,PA-PA-PO,False,exploratory,,,
1,0.004016064257028112,1.0,16.642758776833094,16.642758776833094,,17.06248358099174,-10.883307229521455,2.0,5.0,0.0,B,PA-PA-PA-PA,False,exploratory,,,
1,0.004016064257028112,0.0,-20.22194478437305,-20.22194478437305,0.0,13.105808938115116,-19.643735162241946,6.0,3.0,1.0,B,PA-PA-MA-PO,False,exploratory,,,
1,0.004016064257028112,0.0,-49.031920265687674,-49.031920265687674,0.0,0.0,-45.384764284159694,4.0,1.0,1.0,B,PA-MA-PO-MO,False,exploratory,,,
1,0.004016064257028112,0.0,-14.943121238551509,-14.943121238551509,0.0,18.384015212180216,-13.68260623591438,6.0,3.0,1.0,B,PA-PA-TA-PO,False,exploratory,,,
1,0.004016064257028112,1.0,17.34635739450202,17.34635739450202,,18.056922238748157,-15.405939231632443,3.0,6.0,0.0,B,PA-PA-PO-PA,False,exploratory,,,
1,0.004016064257028112,0.0,-26.278569815676057,-26.278569815676057,0.0,0.0,-31.267637612366368,4.0,1.0,1.0,B,PA-PO-PA-PO,False,exploratory,,,
1,0.004016064257028112,1.0,2.7680047508377994,2.7680047508377994,,8.87654874179497,-14.59229037428519,2.0,4.0,0.0,B,PA-PO-PO-MO,False,exploratory,,,
1,0.004016064257028112,0.0,-41.98541420263299,-41.98541420263299,0.0,0.0,-40.17557129781751,6.0,1.0,1.0,B,PA-MA-MO,False,exploratory,,,
1,0.004016064257028112,1.0,10.567075601995574,10.567075601995574,,11.077753925575488,-9.016929265143181,5.0,6.0,0.0,B,PA-MA-PA-PA,False,exploratory,,,
